date,c_close,c_ret%,cbot_close,cbot_ret%,oni,phase
2016-04-30,1514,5.87,390.25,11.02,1.05,Moderate El Niño
2016-05-31,1615,6.67,404.75,3.72,0.49,Neutral
2016-06-30,1581,-2.11,358.75,-11.36,0.0,Neutral
2016-07-31,1446,-8.54,334.5,-6.76,-0.31,Neutral
2016-08-31,1450,0.28,301.5,-9.86,-0.5,Weak La Niña
2016-09-30,1394,-3.86,336.75,11.69,-0.58,Weak La Niña
2016-10-31,1517,8.82,354.75,5.34,-0.64,Weak La Niña
2016-11-30,1544,1.78,336.75,-5.07,-0.6,Weak La Niña
2016-12-31,1519,-1.62,352.0,4.53,-0.45,Neutral
2017-01-31,1560,2.7,359.75,2.2,-0.19,Neutral
2017-02-28,1603,2.76,366.75,1.95,-0.02,Neutral
2017-03-31,1672,4.3,364.25,-0.68,0.18,Neutral
2017-04-30,1622,-2.99,358.0,-1.72,0.31,Neutral
2017-05-31,1608,-0.86,372.0,3.91,0.4,Neutral
2017-06-30,1687,4.91,370.5,-0.4,0.39,Neutral
2017-07-31,1645,-2.49,370.75,0.07,0.19,Neutral
2017-08-31,1687,2.55,342.25,-7.69,-0.07,Neutral
2017-09-30,1693,0.36,355.25,3.8,-0.34,Neutral
2017-10-31,1657,-2.13,345.75,-2.67,-0.6,Weak La Niña
2017-11-30,1715,3.5,341.75,-1.16,-0.77,Weak La Niña
2017-12-31,1816,5.89,350.75,2.63,-0.86,Weak La Niña
2018-01-31,1788,-1.54,361.5,3.06,-0.77,Weak La Niña
2018-02-28,1830,2.35,374.5,3.6,-0.71,Weak La Niña
2018-03-31,1744,-4.7,387.75,3.54,-0.57,Weak La Niña
2018-04-30,1731,-0.75,392.5,1.23,-0.39,Neutral
2018-05-31,1777,2.66,394.0,0.38,-0.13,Neutral
2018-06-30,1787,0.56,350.25,-11.1,0.06,Neutral
2018-07-31,1854,3.75,372.25,6.28,0.14,Neutral
2018-08-31,1904,2.7,351.0,-5.71,0.27,Neutral
2018-09-30,1847,-2.99,356.25,1.5,0.53,Weak El Niño
2018-10-31,1891,2.38,363.25,1.96,0.81,Weak El Niño
2018-11-30,1953,3.28,366.5,0.9,0.97,Weak El Niño
2018-12-31,1869,-4.3,375.0,2.32,0.92,Weak El Niño
2019-01-31,1863,-0.32,376.5,0.4,0.89,Weak El Niño
2019-02-28,1821,-2.25,362.0,-3.85,0.86,Weak El Niño
2019-03-31,1844,1.26,356.5,-1.52,0.84,Weak El Niño
2019-04-30,1916,3.9,353.25,-0.91,0.77,Weak El Niño
2019-05-31,1971,2.87,427.0,20.88,0.64,Weak El Niño
2019-06-30,1948,-1.17,420.25,-1.58,0.52,Weak El Niño
2019-07-31,1930,-0.92,400.25,-4.76,0.33,Neutral
2019-08-31,1871,-3.06,358.0,-10.56,0.19,Neutral
2019-09-30,1823,-2.57,388.0,8.38,0.23,Neutral
2019-10-31,1873,2.74,390.0,0.52,0.39,Neutral
2019-11-30,1830,-2.3,371.25,-4.81,0.58,Weak El Niño
2019-12-31,1910,4.37,387.75,4.44,0.66,Weak El Niño
2020-01-31,1912,0.1,381.25,-1.68,0.64,Weak El Niño
2020-02-29,1922,0.52,366.5,-3.87,0.63,Weak El Niño
2020-03-31,2048,6.56,340.75,-7.03,0.53,Weak El Niño
2020-04-30,2074,1.27,311.5,-8.58,0.3,Neutral
2020-05-31,2078,0.19,325.75,4.58,0.01,Neutral
2020-06-30,2090,0.58,338.5,3.91,-0.23,Neutral
2020-07-31,2323,11.15,316.0,-6.65,-0.36,Neutral
2020-08-31,2262,-2.63,348.5,10.28,-0.53,Weak La Niña
2020-09-30,2468,9.11,379.0,8.75,-0.85,Weak La Niña
2020-10-31,2621,6.2,398.5,5.14,-1.12,Moderate La Niña
2020-11-30,2601,-0.76,419.75,5.33,-1.2,Moderate La Niña
2020-12-31,2742,5.42,484.0,15.31,-1.08,Moderate La Niña
2021-01-31,2714,-1.02,547.0,13.02,-0.91,Weak La Niña
2021-02-28,2777,2.32,555.5,1.55,-0.79,Weak La Niña
2021-03-31,2631,-5.26,564.25,1.58,-0.71,Weak La Niña
2021-04-30,2733,3.88,740.0,31.15,-0.55,Weak La Niña
2021-05-31,2666,-2.45,656.75,-11.25,-0.39,Neutral
2021-06-30,2613,-1.99,720.0,9.63,-0.3,Neutral
2021-07-31,2573,-1.53,547.0,-24.03,-0.35,Neutral
2021-08-31,2487,-3.34,534.0,-2.38,-0.45,Neutral
2021-09-30,2520,1.33,536.75,0.52,-0.63,Weak La Niña
2021-10-31,2627,4.25,568.25,5.87,-0.76,Weak La Niña
2021-11-30,2645,0.69,567.0,-0.22,-0.91,Weak La Niña
2021-12-31,2672,1.02,593.25,4.63,-0.87,Weak La Niña
2022-01-31,2763,3.41,626.0,5.52,-0.82,Weak La Niña
2022-02-28,2856,3.37,697.5,11.42,-0.79,Weak La Niña
2022-03-31,2840,-0.56,748.75,7.35,-0.86,Weak La Niña
2022-04-30,3044,7.18,818.25,9.28,-0.95,Weak La Niña
2022-05-31,2935,-3.58,753.5,-7.91,-0.9,Weak La Niña
2022-06-30,2780,-5.28,743.75,-1.29,-0.78,Weak La Niña
2022-07-31,2670,-3.96,616.25,-17.14,-0.76,Weak La Niña
2022-08-31,2797,4.76,673.75,9.33,-0.87,Weak La Niña
2022-09-30,2773,-0.86,677.5,0.56,-0.97,Weak La Niña
2022-10-31,2885,4.04,691.5,2.07,-0.94,Weak La Niña
2022-11-30,2908,0.8,662.0,-4.27,-0.85,Weak La Niña
2022-12-31,2824,-2.89,678.5,2.49,-0.71,Weak La Niña
2023-01-31,2842,0.64,679.75,0.18,-0.54,Weak La Niña
