date,sr_close,sr_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2022-04-30,5876,1.33,-0.95,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-6.21,19.72,15.52
2022-05-31,6088,3.61,-0.9,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.26,12.98,10.68
2022-06-30,5842,-4.04,-0.78,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.01,15.2,7.96
2022-07-31,5805,-0.63,-0.76,-0.84,D. -1.0<ONI≤-0.5 (弱 La Niña),1.02,15.66,11.3
2022-08-31,5532,-4.7,-0.87,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),7.54,25.65,13.68
2022-09-30,5442,-1.63,-0.97,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),18.49,27.66,19.63
2022-10-31,5511,1.27,-0.94,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),27.65,23.17,11.92
2022-11-30,5524,0.24,-0.85,-0.86,D. -1.0<ONI≤-0.5 (弱 La Niña),24.51,21.98,10.79
2022-12-31,5783,4.69,-0.71,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),16.38,9.06,7.42
2023-01-31,5864,1.4,-0.54,-0.81,D. -1.0<ONI≤-0.5 (弱 La Niña),14.5,10.18,5.66
2023-02-28,5949,1.45,-0.29,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),16.84,5.72,-4.99
2023-03-31,6448,8.39,-0.02,-0.56,D. -1.0<ONI≤-0.5 (弱 La Niña),7.74,0.96,-8.27
2023-04-30,7035,9.1,0.27,-0.36,C. -0.5<ONI<0.5 (中性),-3.51,-12.32,-16.56
2023-05-31,6878,-2.23,0.57,-0.12,C. -0.5<ONI<0.5 (中性),-2.04,-11.02,-10.8
2023-06-30,6730,-2.15,0.84,0.14,C. -0.5<ONI<0.5 (中性),-6.29,-7.7,-11.43
2023-07-31,6714,-0.24,1.12,0.42,C. -0.5<ONI<0.5 (中性),-3.77,-7.72,-13.36
2023-08-31,6951,3.53,1.37,0.69,B. 0.5≤ONI<1.0 (弱 El Niño),-9.52,-18.69,-14.67
2023-09-30,6947,-0.06,1.6,0.96,B. 0.5≤ONI<1.0 (弱 El Niño),-6.29,-14.86,-12.55
2023-10-31,6788,-2.29,1.83,1.22,A. ONI≥1.0 (中强 El Niño),-9.13,-13.52,-13.27
2023-11-30,6738,-0.74,1.99,1.46,A. ONI≥1.0 (中强 El Niño),-9.17,-8.95,-14.47
2023-12-31,6307,-6.4,2.06,1.66,A. ONI≥1.0 (中强 El Niño),-1.51,-5.49,-7.93
2024-01-31,6461,2.44,1.92,1.8,A. ONI≥1.0 (中强 El Niño),-4.1,-9.97,-10.34
2024-02-29,6289,-2.66,1.62,1.84,A. ONI≥1.0 (中强 El Niño),-10.13,-5.69,-10.89
2024-03-31,6510,3.51,1.26,1.78,A. ONI≥1.0 (中强 El Niño),-9.14,-6.68,-15.62
2024-04-30,6168,-5.25,0.82,1.61,A. ONI≥1.0 (中强 El Niño),-4.83,-4.56,-11.11
2024-05-31,6120,-0.78,0.49,1.36,A. ONI≥1.0 (中强 El Niño),0.25,-5.83,-11.76
2024-06-30,6212,1.5,0.22,1.06,A. ONI≥1.0 (中强 El Niño),-4.04,-6.52,-15.47
2024-07-31,6196,-0.26,0.08,0.75,B. 0.5≤ONI<1.0 (弱 El Niño),-6.12,-6.5,-15.3
2024-08-31,5652,-8.78,-0.07,0.47,C. -0.5<ONI<0.5 (中性),4.94,-0.85,-5.8
2024-09-30,5915,4.65,-0.17,0.23,C. -0.5<ONI<0.5 (中性),2.7,-7.13,-8.18
