date,year,month,c_open,c_high,c_low,c_close,c_ret%,cbot_close,cbot_ret%,diff%
2012-11-30,2012,11,2422,,,2438,0.74,748.0,-1.02,1.77
2012-12-31,2012,12,2438,,,2433,-0.21,698.25,-6.65,6.45
2013-01-31,2013,1,2433,,,2424,-0.37,740.5,6.05,-6.42
2013-02-28,2013,2,2426,,,2441,0.7,719.5,-2.84,3.54
2013-03-31,2013,3,2439,,,2468,1.11,695.25,-3.37,4.48
2013-04-30,2013,4,2460,,,2391,-3.12,683.25,-1.73,-1.39
2013-05-31,2013,5,2409,,,2447,2.34,662.0,-3.11,5.45
2013-06-30,2013,6,2450,,,2418,-1.19,679.25,2.61,-3.79
2013-07-31,2013,7,2409,,,2338,-3.31,499.0,-26.54,23.23
2013-08-31,2013,8,2338,,,2320,-0.77,495.0,-0.8,0.03
2013-09-30,2013,9,2321,,,2318,-0.09,441.5,-10.81,10.72
2013-10-31,2013,10,2318,,,2323,0.22,428.25,-3.0,3.22
2013-11-30,2013,11,2320,,,2361,1.64,415.25,-3.04,4.67
2013-12-31,2013,12,2361,,,2345,-0.68,422.0,1.63,-2.3
2014-01-31,2014,1,2344,,,2361,0.68,434.0,2.84,-2.16
2014-02-28,2014,2,2366,,,2341,-0.85,457.5,5.42,-6.26
2014-03-31,2014,3,2342,,,2354,0.56,502.0,9.73,-9.17
2014-04-30,2014,4,2360,,,2372,0.76,514.0,2.39,-1.63
2014-05-31,2014,5,2374,,,2387,0.63,465.75,-9.39,10.02
2014-06-30,2014,6,2389,,,2398,0.46,424.25,-8.91,9.37
2014-07-31,2014,7,2388,,,2367,-1.29,357.0,-15.85,14.56
2014-08-31,2014,8,2367,,,2374,0.3,359.0,0.56,-0.26
2014-09-30,2014,9,2375,,,2358,-0.67,320.75,-10.66,9.98
2014-10-31,2014,10,2392,,,2380,0.93,376.75,17.46,-16.53
2014-11-30,2014,11,2397,,,2412,1.34,375.75,-0.26,1.61
2014-12-31,2014,12,2407,,,2380,-1.33,397.0,5.66,-6.98
2015-01-31,2015,1,2377,,,2474,3.95,370.0,-6.8,10.75
2015-02-28,2015,2,2471,,,2536,2.51,384.5,3.92,-1.41
2015-03-31,2015,3,2536,,,2524,-0.47,376.25,-2.15,1.67
2015-04-30,2015,4,2520,,,2500,-0.95,362.5,-3.65,2.7
2015-05-31,2015,5,2491,,,2470,-1.2,351.5,-3.03,1.83
2015-06-30,2015,6,2473,,,2317,-6.19,414.0,17.78,-23.98
2015-07-31,2015,7,2341,,,2015,-13.03,371.0,-10.39,-2.65
2015-08-31,2015,8,2011,,,1938,-3.82,363.75,-1.95,-1.87
2015-09-30,2015,9,1946,,,1799,-7.17,387.75,6.6,-13.77
2015-10-31,2015,10,1801,,,1810,0.61,382.25,-1.42,2.03
2015-11-30,2015,11,1814,,,1893,4.59,365.0,-4.51,9.1
2015-12-31,2015,12,1898,,,1896,0.16,358.75,-1.71,1.87
2016-01-31,2016,1,1895,,,1933,1.95,372.0,3.69,-1.74
2016-02-29,2016,2,1935,,,1551,-19.76,353.5,-4.97,-14.79
2016-03-31,2016,3,1560,,,1430,-7.8,351.5,-0.57,-7.24
2016-04-30,2016,4,1415,,,1514,5.87,390.25,11.02,-5.15
2016-05-31,2016,5,1525,,,1615,6.67,404.75,3.72,2.96
2016-06-30,2016,6,1608,,,1581,-2.11,358.75,-11.36,9.26
2016-07-31,2016,7,1580,,,1446,-8.54,334.5,-6.76,-1.78
2016-08-31,2016,8,1450,,,1450,0.28,301.5,-9.86,10.14
2016-09-30,2016,9,1450,,,1394,-3.86,336.75,11.69,-15.55
2016-10-31,2016,10,1400,,,1517,8.82,354.75,5.34,3.48
2016-11-30,2016,11,1515,,,1544,1.78,336.75,-5.07,6.85
2016-12-31,2016,12,1544,,,1519,-1.62,352.0,4.53,-6.15
2017-01-31,2017,1,1516,,,1560,2.7,359.75,2.2,0.5
2017-02-28,2017,2,1558,,,1603,2.76,366.75,1.95,0.81
2017-03-31,2017,3,1608,,,1672,4.3,364.25,-0.68,4.99
2017-04-30,2017,4,1675,,,1622,-2.99,358.0,-1.72,-1.27
2017-05-31,2017,5,1631,,,1608,-0.86,372.0,3.91,-4.77
2017-06-30,2017,6,1612,,,1687,4.91,370.5,-0.4,5.32
2017-07-31,2017,7,1704,,,1645,-2.49,370.75,0.07,-2.56
2017-08-31,2017,8,1648,,,1687,2.55,342.25,-7.69,10.24
2017-09-30,2017,9,1695,,,1693,0.36,355.25,3.8,-3.44
2017-10-31,2017,10,1659,,,1657,-2.13,345.75,-2.67,0.55
2017-11-30,2017,11,1656,,,1715,3.5,341.75,-1.16,4.66
2017-12-31,2017,12,1716,,,1816,5.89,350.75,2.63,3.26
2018-01-31,2018,1,1818,,,1788,-1.54,361.5,3.06,-4.61
2018-02-28,2018,2,1790,,,1830,2.35,374.5,3.6,-1.25
2018-03-31,2018,3,1836,,,1744,-4.7,387.75,3.54,-8.24
2018-04-30,2018,4,1746,,,1731,-0.75,392.5,1.23,-1.97
2018-05-31,2018,5,1732,,,1777,2.66,394.0,0.38,2.28
2018-06-30,2018,6,1778,,,1787,0.56,350.25,-11.1,11.67
2018-07-31,2018,7,1789,,,1854,3.75,372.25,6.28,-2.53
2018-08-31,2018,8,1855,,,1904,2.7,351.0,-5.71,8.41
2018-09-30,2018,9,1904,,,1847,-2.99,356.25,1.5,-4.49
2018-10-31,2018,10,1847,,,1891,2.38,363.25,1.96,0.42
2018-11-30,2018,11,1892,,,1953,3.28,366.5,0.9,2.38
2018-12-31,2018,12,1904,,,1869,-4.3,375.0,2.32,-6.62
2019-01-31,2019,1,1865,,,1863,-0.32,376.5,0.4,-0.72
2019-02-28,2019,2,1866,,,1821,-2.25,362.0,-3.85,1.6
2019-03-31,2019,3,1825,,,1844,1.26,356.5,-1.52,2.78
2019-04-30,2019,4,1845,,,1916,3.9,353.25,-0.91,4.82
2019-05-31,2019,5,1932,,,1971,2.87,427.0,20.88,-18.01
2019-06-30,2019,6,1968,,,1948,-1.17,420.25,-1.58,0.41
2019-07-31,2019,7,1948,,,1930,-0.92,400.25,-4.76,3.83
2019-08-31,2019,8,1930,,,1871,-3.06,358.0,-10.56,7.5
2019-09-30,2019,9,1873,,,1823,-2.57,388.0,8.38,-10.95
2019-10-31,2019,10,1823,,,1873,2.74,390.0,0.52,2.23
2019-11-30,2019,11,1873,,,1830,-2.3,371.25,-4.81,2.51
2019-12-31,2019,12,1829,,,1910,4.37,387.75,4.44,-0.07
