date,close_ice,ret_ice,year,month
2022-08-31,17.89,1.995,2022,8
2022-09-30,18.42,2.963,2022,9
2022-10-31,17.97,-2.443,2022,10
2022-11-30,19.63,9.238,2022,11
2022-12-31,20.04,2.089,2022,12
2023-01-31,21.76,8.583,2023,1
2023-02-28,22.08,1.471,2023,2
2023-03-31,22.25,0.77,2023,3
2023-04-30,26.99,21.303,2023,4
2023-05-31,25.06,-7.151,2023,5
2023-06-30,22.89,-8.659,2023,6
2023-07-31,24.11,5.33,2023,7
2023-08-31,25.06,3.94,2023,8
2023-09-30,26.27,4.828,2023,9
2023-10-31,27.09,3.121,2023,10
2023-11-30,26.04,-3.876,2023,11
2023-12-31,20.58,-20.968,2023,12
2024-01-31,24.13,17.25,2024,1
2024-02-29,22.58,-6.424,2024,2
2024-03-31,22.52,-0.266,2024,3
2024-04-30,19.71,-12.478,2024,4
2024-05-31,18.3,-7.154,2024,5
2024-06-30,20.31,10.984,2024,6
2024-07-31,18.94,-6.745,2024,7
2024-08-31,19.38,2.323,2024,8
2024-09-30,22.67,16.976,2024,9
2024-10-31,22.74,0.309,2024,10
2024-11-30,21.08,-7.3,2024,11
2024-12-31,19.26,-8.634,2024,12
2025-01-31,19.35,0.467,2025,1
2025-02-28,19.51,0.827,2025,2
2025-03-31,18.86,-3.332,2025,3
2025-04-30,17.46,-7.423,2025,4
2025-05-31,17.05,-2.348,2025,5
2025-06-30,15.48,-9.208,2025,6
2025-07-31,16.35,5.62,2025,7
2025-08-31,16.37,0.122,2025,8
2025-09-30,16.1,-1.649,2025,9
2025-10-31,14.43,-10.373,2025,10
2025-11-30,15.21,5.405,2025,11
2025-12-31,15.01,-1.315,2025,12
2026-01-31,14.27,-4.93,2026,1
2026-02-28,14.3,0.21,2026,2
2026-03-31,15.52,8.531,2026,3
2026-04-30,14.58,-6.057,2026,4
2026-05-31,14.62,0.274,2026,5
