date,c_close,c_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2013-07-31,2338,-3.31,-0.35,-0.27,C. -0.5<ONI<0.5 (中性),0.98,1.24,5.82
2013-08-31,2320,-0.77,-0.28,-0.27,C. -0.5<ONI<0.5 (中性),0.91,2.33,9.31
2013-09-30,2318,-0.09,-0.21,-0.27,C. -0.5<ONI<0.5 (中性),1.55,1.73,8.89
2013-10-31,2323,0.22,-0.13,-0.26,C. -0.5<ONI<0.5 (中性),2.11,2.45,7.62
2013-11-30,2361,1.64,-0.1,-0.24,C. -0.5<ONI<0.5 (中性),1.1,2.16,4.62
2013-12-31,2345,-0.68,-0.15,-0.2,C. -0.5<ONI<0.5 (中性),2.26,1.49,-1.19
2014-01-31,2361,0.68,-0.28,-0.19,C. -0.5<ONI<0.5 (中性),0.25,4.79,-14.65
2014-02-28,2341,-0.85,-0.32,-0.2,C. -0.5<ONI<0.5 (中性),1.41,8.33,-17.21
2014-03-31,2354,0.56,-0.14,-0.19,C. -0.5<ONI<0.5 (中性),0.17,7.22,-23.58
2014-04-30,2372,0.76,0.15,-0.14,C. -0.5<ONI<0.5 (中性),0.34,5.4,-23.69
2014-05-31,2387,0.63,0.31,-0.07,C. -0.5<ONI<0.5 (中性),1.05,3.48,-20.7
2014-06-30,2398,0.46,0.23,-0.01,C. -0.5<ONI<0.5 (中性),-0.75,-3.38,-20.93
2014-07-31,2367,-1.29,0.1,0.06,C. -0.5<ONI<0.5 (中性),4.52,-14.87,-18.34
2014-08-31,2374,0.3,0.11,0.13,C. -0.5<ONI<0.5 (中性),6.82,-18.37,-34.67
2014-09-30,2358,-0.67,0.28,0.2,C. -0.5<ONI<0.5 (中性),7.04,-23.71,-39.36
2014-10-31,2380,0.93,0.54,0.26,C. -0.5<ONI<0.5 (中性),5.04,-23.95,-36.39
2014-11-30,2412,1.34,0.71,0.33,C. -0.5<ONI<0.5 (中性),2.4,-21.52,-33.04
2014-12-31,2380,-1.33,0.77,0.42,C. -0.5<ONI<0.5 (中性),-2.65,-20.34,-33.57
2015-01-31,2474,3.95,0.69,0.52,B. 0.5≤ONI<1.0 (弱 El Niño),-18.55,-21.87,-41.55
2015-02-28,2536,2.51,0.61,0.6,B. 0.5≤ONI<1.0 (弱 El Niño),-23.58,-38.84,-42.82
2015-03-31,2524,-0.47,0.65,0.66,B. 0.5≤ONI<1.0 (弱 El Niño),-28.72,-43.34,-44.77
2015-04-30,2500,-0.95,0.81,0.71,B. 0.5≤ONI<1.0 (弱 El Niño),-27.6,-39.44,-39.32
2015-05-31,2470,-1.2,1.02,0.76,B. 0.5≤ONI<1.0 (弱 El Niño),-23.36,-34.62,-37.49
2015-06-30,2317,-6.19,1.25,0.84,B. 0.5≤ONI<1.0 (弱 El Niño),-18.17,-31.77,-34.44
2015-07-31,2015,-13.03,1.57,0.98,B. 0.5≤ONI<1.0 (弱 El Niño),-4.07,-28.24,-22.58
2015-08-31,1938,-3.82,1.91,1.2,A. ONI≥1.0 (中强 El Niño),-19.97,-25.18,-17.29
2015-09-30,1799,-7.17,2.21,1.46,A. ONI≥1.0 (中强 El Niño),-20.51,-22.51,-7.06
2015-10-31,1810,0.61,2.47,1.74,A. ONI≥1.0 (中强 El Niño),-16.35,-16.19,-10.39
2015-11-30,1893,4.59,2.64,2.01,A. ONI≥1.0 (中强 El Niño),-14.69,-18.44,-15.06
2015-12-31,1896,0.16,2.75,2.26,A. ONI≥1.0 (中强 El Niño),-16.61,-19.88,-11.02
2016-01-31,1933,1.95,2.63,2.44,A. ONI≥1.0 (中强 El Niño),-25.19,-19.3,-14.9
2016-02-29,1551,-19.76,2.28,2.5,A. ONI≥1.0 (中强 El Niño),-6.51,3.35,8.77
2016-03-31,1430,-7.8,1.71,2.41,A. ONI≥1.0 (中强 El Niño),-2.52,16.92,18.39
2016-04-30,1514,5.87,1.05,2.18,A. ONI≥1.0 (中强 El Niño),0.2,7.13,9.45
2016-05-31,1615,6.67,0.49,1.82,A. ONI≥1.0 (中强 El Niño),-4.4,-0.43,6.19
2016-06-30,1581,-2.11,0.0,1.36,A. ONI≥1.0 (中强 El Niño),-3.92,6.7,14.86
2016-07-31,1446,-8.54,-0.31,0.87,B. 0.5≤ONI<1.0 (弱 El Niño),7.88,13.76,23.65
2016-08-31,1450,0.28,-0.5,0.41,C. -0.5<ONI<0.5 (中性),10.55,16.34,26.21
2016-09-30,1394,-3.86,-0.58,0.03,C. -0.5<ONI<0.5 (中性),19.94,21.45,25.11
2016-10-31,1517,8.82,-0.64,-0.26,C. -0.5<ONI<0.5 (中性),6.92,9.23,14.11
2016-11-30,1544,1.78,-0.6,-0.44,C. -0.5<ONI<0.5 (中性),4.15,11.08,15.09
2016-12-31,1519,-1.62,-0.45,-0.51,D. -1.0<ONI≤-0.5 (弱 La Niña),11.06,19.55,17.64
2017-01-31,1560,2.7,-0.19,-0.49,C. -0.5<ONI<0.5 (中性),5.45,14.62,18.85
2017-02-28,1603,2.76,-0.02,-0.41,C. -0.5<ONI<0.5 (中性),5.24,14.16,18.78
2017-03-31,1672,4.3,0.18,-0.29,C. -0.5<ONI<0.5 (中性),1.26,4.31,10.47
2017-04-30,1622,-2.99,0.31,-0.13,C. -0.5<ONI<0.5 (中性),2.16,6.72,16.58
2017-05-31,1608,-0.86,0.4,0.04,C. -0.5<ONI<0.5 (中性),6.65,10.51,21.46
2017-06-30,1687,4.91,0.39,0.18,C. -0.5<ONI<0.5 (中性),7.65,5.93,10.79
2017-07-31,1645,-2.49,0.19,0.24,C. -0.5<ONI<0.5 (中性),8.69,12.71,13.25
2017-08-31,1687,2.55,-0.07,0.23,C. -0.5<ONI<0.5 (中性),8.48,12.86,7.94
2017-09-30,1693,0.36,-0.34,0.15,C. -0.5<ONI<0.5 (中性),3.01,9.1,8.92
2017-10-31,1657,-2.13,-0.6,-0.0,C. -0.5<ONI<0.5 (中性),4.47,14.12,15.63
2017-11-30,1715,3.5,-0.77,-0.2,C. -0.5<ONI<0.5 (中性),3.62,13.88,14.93
2017-12-31,1816,5.89,-0.86,-0.41,C. -0.5<ONI<0.5 (中性),-1.6,2.92,7.27
2018-01-31,1788,-1.54,-0.77,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),3.69,4.19,7.94
2018-02-28,1830,2.35,-0.71,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),4.04,-0.49,2.24
2018-03-31,1744,-4.7,-0.57,-0.71,D. -1.0<ONI≤-0.5 (弱 La Niña),5.91,5.73,4.53
2018-04-30,1731,-0.75,-0.39,-0.68,D. -1.0<ONI≤-0.5 (弱 La Niña),9.24,10.69,8.2
2018-05-31,1777,2.66,-0.13,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),9.9,10.92,2.98
2018-06-30,1787,0.56,0.06,-0.42,C. -0.5<ONI<0.5 (中性),4.59,9.01,6.88
2018-07-31,1854,3.75,0.14,-0.27,C. -0.5<ONI<0.5 (中性),0.49,4.1,3.13
2018-08-31,1904,2.7,0.27,-0.1,C. -0.5<ONI<0.5 (中性),-4.36,-1.73,0.95
2018-09-30,1847,-2.99,0.53,0.08,C. -0.5<ONI<0.5 (中性),-0.16,-1.3,10.88
2018-10-31,1891,2.38,0.81,0.28,C. -0.5<ONI<0.5 (中性),1.32,-0.95,9.68
2018-11-30,1953,3.28,0.97,0.46,C. -0.5<ONI<0.5 (中性),0.92,-6.3,6.4
2018-12-31,1869,-4.3,0.92,0.61,B. 0.5≤ONI<1.0 (弱 El Niño),4.23,2.19,11.82
2019-01-31,1863,-0.32,0.89,0.73,B. 0.5≤ONI<1.0 (弱 El Niño),3.6,2.63,24.69
2019-02-28,1821,-2.25,0.86,0.83,B. 0.5≤ONI<1.0 (弱 El Niño),2.75,5.55,24.22
2019-03-31,1844,1.26,0.84,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),-1.14,11.06,33.84
2019-04-30,1916,3.9,0.77,0.88,B. 0.5≤ONI<1.0 (弱 El Niño),-2.24,8.25,36.8
2019-05-31,1971,2.87,0.64,0.82,B. 0.5≤ONI<1.0 (弱 El Niño),-7.15,5.43,31.96
2019-06-30,1948,-1.17,0.52,0.75,B. 0.5≤ONI<1.0 (弱 El Niño),-1.95,7.29,40.76
2019-07-31,1930,-0.92,0.33,0.66,B. 0.5≤ONI<1.0 (弱 El Niño),-0.93,20.36,40.62
2019-08-31,1871,-3.06,0.19,0.55,B. 0.5≤ONI<1.0 (弱 El Niño),2.73,20.9,48.42
2019-09-30,1823,-2.57,0.23,0.45,C. -0.5<ONI<0.5 (中性),12.34,35.38,44.32
2019-10-31,1873,2.74,0.39,0.38,C. -0.5<ONI<0.5 (中性),10.73,39.94,45.92
2019-11-30,1830,-2.3,0.58,0.37,C. -0.5<ONI<0.5 (中性),13.55,42.13,45.68
2019-12-31,1910,4.37,0.66,0.4,C. -0.5<ONI<0.5 (中性),9.42,43.56,36.81
2020-01-31,1912,0.1,0.64,0.45,C. -0.5<ONI<0.5 (中性),21.5,41.95,34.57
2020-02-29,1922,0.52,0.63,0.52,B. 0.5≤ONI<1.0 (弱 El Niño),17.69,44.48,29.4
2020-03-31,2048,6.56,0.53,0.57,B. 0.5≤ONI<1.0 (弱 El Niño),20.51,28.47,23.05
2020-04-30,2074,1.27,0.3,0.56,B. 0.5≤ONI<1.0 (弱 El Niño),26.37,31.77,26.66
2020-05-31,2078,0.19,0.01,0.46,C. -0.5<ONI<0.5 (中性),25.17,28.3,27.29
2020-06-30,2090,0.58,-0.23,0.31,C. -0.5<ONI<0.5 (中性),31.2,25.02,27.85
2020-07-31,2323,11.15,-0.36,0.15,C. -0.5<ONI<0.5 (中性),16.83,10.76,18.94
2020-08-31,2262,-2.63,-0.53,-0.05,C. -0.5<ONI<0.5 (中性),22.77,9.95,26.26
2020-09-30,2468,9.11,-0.85,-0.28,C. -0.5<ONI<0.5 (中性),6.6,2.11,15.07
2020-10-31,2621,6.2,-1.12,-0.51,D. -1.0<ONI≤-0.5 (弱 La Niña),4.27,0.23,16.14
2020-11-30,2601,-0.76,-1.2,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),2.5,1.69,12.84
2020-12-31,2742,5.42,-1.08,-0.86,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.7,-2.55,1.39
2021-01-31,2714,-1.02,-0.91,-0.95,D. -1.0<ONI≤-0.5 (弱 La Niña),-5.2,1.81,-1.62
2021-02-28,2777,2.32,-0.79,-0.99,D. -1.0<ONI≤-0.5 (弱 La Niña),-10.44,2.84,0.72
2021-03-31,2631,-5.26,-0.71,-0.97,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.22,7.94,5.4
2021-04-30,2733,3.88,-0.55,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.88,11.38,5.56
